mc_id,lon,lat,group
mc_24.09_68.45_1.1_20230605_0,24.09,68.45,7
mc_24.24_68.20_1.1_20230605_0,24.24,68.2,7
mc_24.37_68.08_1.1_20230605_0,24.37,68.08,7
mc_25.87_67.95_1.1_20230605_0,25.87,67.95,7
mc_26.43_68.08_1.1_20230605_0,26.43,68.08,7
mc_26.42_68.33_1.1_20230605_0,26.42,68.33,7
mc_26.50_68.45_1.1_20230605_0,26.5,68.45,7
mc_26.53_68.58_1.1_20230605_0,26.53,68.58,7
mc_26.62_68.05_1.1_20230605_0,26.62,68.05,7
mc_26.70_67.95_1.1_20230605_0,26.7,67.95,7
mc_26.75_68.20_1.1_20230605_0,26.75,68.2,7
mc_26.93_67.95_1.1_20230605_0,26.93,67.95,7
mc_27.24_68.20_1.1_20230605_0,27.24,68.2,7
mc_27.24_68.45_1.1_20230605_0,27.24,68.45,7
mc_27.37_68.08_1.1_20230605_0,27.37,68.08,7
mc_27.37_68.33_1.1_20230605_0,27.37,68.33,7
mc_27.49_68.45_1.1_20230605_0,27.49,68.45,7
mc_27.69_68.08_1.1_20230605_0,27.69,68.08,7
mc_27.74_68.32_1.1_20230605_0,27.74,68.32,7
mc_27.88_68.33_1.1_20230605_0,27.88,68.33,7
mc_28.02_68.58_1.1_20230605_0,28.02,68.58,7
mc_28.12_68.33_1.1_20230605_0,28.12,68.33,7
mc_28.24_68.58_1.1_20230605_0,28.24,68.58,7
mc_28.25_68.17_1.1_20230605_0,28.25,68.17,7
mc_28.37_68.33_1.1_20230605_0,28.37,68.33,7
mc_28.38_68.08_1.1_20230605_0,28.38,68.08,7
mc_28.49_68.45_1.1_20230605_0,28.49,68.45,7
mc_28.62_68.08_1.1_20230605_0,28.62,68.08,7
mc_28.87_67.95_1.1_20230605_0,28.87,67.95,7
mc_28.92_68.31_1.1_20230605_0,28.92,68.31,7
mc_29.03_68.20_1.1_20230605_0,29.03,68.2,7
mc_29.12_67.95_1.1_20230605_0,29.12,67.95,7
mc_29.12_68.08_1.1_20230605_0,29.12,68.08,7
mc_29.24_68.20_1.1_20230605_0,29.24,68.2,7
mc_29.24_68.45_1.1_20230605_0,29.24,68.45,7
mc_29.37_68.08_1.1_20230605_0,29.37,68.08,7
mc_29.49_68.70_1.1_20230605_0,29.49,68.7,7
mc_29.62_68.33_1.1_20230605_0,29.62,68.33,7
mc_29.87_68.08_1.1_20230605_0,29.87,68.08,7
mc_29.87_68.33_1.1_20230605_0,29.87,68.33,7
mc_29.99_68.20_1.1_20230605_0,29.99,68.2,7
mc_29.99_68.70_1.1_20230605_0,29.99,68.7,7
mc_30.03_68.45_1.1_20230605_0,30.03,68.45,7
mc_30.12_68.33_1.1_20230605_0,30.12,68.33,7
mc_30.24_68.70_1.1_20230605_0,30.24,68.7,7
mc_30.57_68.45_1.1_20230605_0,30.57,68.45,7
mc_53.97_72.06_1.1_20230605_0,53.97,72.06,2
mc_54.11_72.95_1.1_20230605_0,54.11,72.95,2
mc_54.15_72.59_1.1_20230605_0,54.15,72.59,2
mc_54.20_72.81_1.1_20230605_0,54.2,72.81,2
mc_54.23_73.07_1.1_20230605_0,54.23,73.07,2
mc_54.35_72.57_1.1_20230605_0,54.35,72.57,2
mc_54.36_72.70_1.1_20230605_0,54.36,72.7,2
mc_54.36_72.82_1.1_20230605_0,54.36,72.82,2
mc_54.86_72.95_1.1_20230605_0,54.86,72.95,2
mc_55.23_73.07_1.1_20230605_0,55.23,73.07,2
mc_55.73_73.57_1.1_20230605_0,55.73,73.57,2
mc_92.55_74.54_1.1_20230605_0,92.55,74.54,8
mc_94.60_72.14_1.1_20230605_0,94.6,72.14,8
mc_-160.57_69.45_1.1_20230605_0,-160.57,69.45,4
mc_-160.57_69.70_1.1_20230605_0,-160.57,69.7,4
mc_-160.57_69.83_1.1_20230605_0,-160.57,69.83,4
mc_-160.66_69.58_1.1_20230605_0,-160.66,69.58,4
mc_-160.69_69.33_1.1_20230605_0,-160.69,69.33,4
mc_-160.69_69.95_1.1_20230605_0,-160.69,69.95,4
mc_-160.77_69.83_1.1_20230605_0,-160.77,69.83,4
mc_-160.82_69.70_1.1_20230605_0,-160.82,69.7,4
mc_-72.70_82.44_1.1_20230605_0,-72.7,82.44,9
mc_-73.20_81.97_1.1_20230605_0,-73.2,81.97,9
mc_-73.37_82.42_1.1_20230605_0,-73.37,82.42,9
mc_-73.47_80.38_1.1_20230605_0,-73.47,80.38,9
mc_-73.64_80.34_1.1_20230605_0,-73.64,80.34,9
mc_-73.69_70.84_1.1_20230605_0,-73.69,70.84,5
mc_-74.28_80.01_1.1_20230605_0,-74.28,80.01,9
mc_-74.07_79.99_1.1_20230605_0,-74.07,79.99,9
mc_-80.18_77.19_1.1_20230605_0,-80.18,77.19,9
mc_-91.34_75.07_1.1_20230606_0,-91.34,75.07,3
mc_-160.88_69.58_1.1_20230606_0,-160.88,69.58,4
mc_-160.94_69.32_1.1_20230606_0,-160.94,69.32,4
mc_-160.94_69.95_1.1_20230606_0,-160.94,69.95,4
mc_-161.19_69.33_1.1_20230606_0,-161.19,69.33,4
mc_-161.00_69.73_1.1_20230606_0,-161.0,69.73,4
mc_-161.19_69.70_1.1_20230606_0,-161.19,69.7,4
mc_-161.19_69.58_1.1_20230606_0,-161.19,69.58,4
mc_-161.32_69.45_1.1_20230606_0,-161.32,69.45,4
mc_-161.42_69.58_1.1_20230606_0,-161.42,69.58,4
mc_-161.43_69.33_1.1_20230606_0,-161.43,69.33,4
mc_-161.57_69.45_1.1_20230606_0,-161.57,69.45,4
mc_-161.69_69.33_1.1_20230606_0,-161.69,69.33,4
mc_-70.47_82.44_1.1_20230606_0,-70.47,82.44,9
mc_-70.85_80.57_1.1_20230606_0,-70.85,80.57,9
mc_-70.92_80.59_1.1_20230606_0,-70.92,80.59,9
mc_-71.97_80.69_1.1_20230606_0,-71.97,80.69,9
mc_-72.22_80.65_1.1_20230606_0,-72.22,80.65,9
mc_-73.32_80.45_1.1_20230606_0,-73.32,80.45,9
mc_-75.65_79.95_1.1_20230606_0,-75.65,79.95,9
mc_-75.96_82.19_1.1_20230606_0,-75.96,82.19,9
mc_-76.75_77.95_1.1_20230606_0,-76.75,77.95,9
mc_-77.57_77.97_1.1_20230606_0,-77.57,77.97,9
mc_-77.85_77.98_1.1_20230606_0,-77.85,77.98,9
mc_-78.27_78.69_1.1_20230606_0,-78.27,78.69,9
mc_-78.52_78.69_1.1_20230606_0,-78.52,78.69,9
mc_-80.85_77.45_1.1_20230606_0,-80.85,77.45,9
mc_-81.47_78.19_1.1_20230606_0,-81.47,78.19,9
mc_-85.34_76.70_1.1_20230606_0,-85.34,76.7,9
mc_-85.68_76.49_1.1_20230606_0,-85.68,76.49,9
mc_-87.72_75.45_1.1_20230606_0,-87.72,75.45,3
mc_-88.72_75.45_1.1_20230606_0,-88.72,75.45,3
mc_-89.84_75.32_1.1_20230606_0,-89.84,75.32,3
mc_-89.90_75.67_1.1_20230606_0,-89.9,75.67,3
mc_-90.00_75.32_1.1_20230606_0,-90.0,75.32,3
mc_-90.09_75.45_1.1_20230606_0,-90.09,75.45,3
mc_-90.34_75.07_1.1_20230606_0,-90.34,75.07,3
mc_-90.34_75.20_1.1_20230606_0,-90.34,75.2,3
mc_-90.72_75.82_1.1_20230606_0,-90.72,75.82,3
mc_-90.84_75.20_1.1_20230606_0,-90.84,75.2,3
mc_-90.84_75.45_1.1_20230606_0,-90.84,75.45,3
mc_-90.97_75.70_1.1_20230606_0,-90.97,75.7,3
mc_-91.09_75.07_1.1_20230606_0,-91.09,75.07,3
mc_-91.47_75.95_1.1_20230606_0,-91.47,75.95,3
mc_-91.59_75.20_1.1_20230606_0,-91.59,75.2,3
mc_-91.59_75.32_1.1_20230606_0,-91.59,75.32,3
mc_-91.72_75.70_1.1_20230606_0,-91.72,75.7,3
mc_-91.84_75.45_1.1_20230606_0,-91.84,75.45,3
mc_-94.34_75.45_1.1_20230606_0,-94.34,75.45,2
mc_-94.84_75.45_1.1_20230606_0,-94.84,75.45,2
mc_-95.09_75.45_1.1_20230606_0,-95.09,75.45,2
mc_106.22_69.58_1.1_20230606_0,106.22,69.58,1
mc_171.19_67.95_1.1_20230606_0,171.19,67.95,3
mc_171.44_67.95_1.1_20230606_0,171.44,67.95,3
mc_171.69_67.95_1.1_20230606_0,171.69,67.95,3
mc_18.06_68.13_1.1_20230606_0,18.06,68.13,1
mc_18.69_68.33_1.1_20230606_0,18.69,68.33,1
mc_18.87_68.33_1.1_20230606_0,18.87,68.33,1
mc_18.90_68.45_1.1_20230606_0,18.9,68.45,1
mc_23.12_68.33_1.1_20230606_0,23.12,68.33,7
mc_23.28_68.58_1.1_20230606_0,23.28,68.58,7
mc_23.35_68.45_1.1_20230606_0,23.35,68.45,7
mc_24.37_68.33_1.1_20230606_0,24.37,68.33,7
mc_24.49_68.20_1.1_20230606_0,24.49,68.2,7
mc_24.62_67.95_1.1_20230606_0,24.62,67.95,7
mc_24.63_68.08_1.1_20230606_0,24.63,68.08,7
mc_26.12_67.95_1.1_20230606_0,26.12,67.95,7
mc_26.12_68.08_1.1_20230606_0,26.12,68.08,7
mc_26.24_68.20_1.1_20230606_0,26.24,68.2,7
mc_26.87_68.33_1.1_20230606_0,26.87,68.33,7
mc_26.99_68.20_1.1_20230606_0,26.99,68.2,7
mc_27.12_67.95_1.1_20230606_0,27.12,67.95,7
mc_27.99_68.20_1.1_20230606_0,27.99,68.2,7
mc_27.99_68.45_1.1_20230606_0,27.99,68.45,7
mc_28.21_68.08_1.1_20230606_0,28.21,68.08,7
mc_28.29_68.45_1.1_20230606_0,28.29,68.45,7
mc_28.49_68.58_1.1_20230606_0,28.49,68.58,7
mc_28.58_68.18_1.1_20230606_0,28.58,68.18,7
mc_28.62_67.95_1.1_20230606_0,28.62,67.95,7
mc_28.76_68.58_1.1_20230606_0,28.76,68.58,7
mc_28.78_68.20_1.1_20230606_0,28.78,68.2,7
mc_28.99_68.45_1.1_20230606_0,28.99,68.45,7
mc_29.49_68.45_1.1_20230606_0,29.49,68.45,7
mc_29.74_68.70_1.1_20230606_0,29.74,68.7,7
mc_30.24_68.45_1.1_20230606_0,30.24,68.45,7
mc_30.24_68.57_1.1_20230606_0,30.24,68.57,7
mc_30.37_68.33_1.1_20230606_0,30.37,68.33,7
mc_30.88_68.33_1.1_20230606_0,30.88,68.33,7
mc_54.86_72.82_1.1_20230606_0,54.86,72.82,2
mc_54.98_73.07_1.1_20230606_0,54.98,73.07,2
mc_55.26_73.20_1.1_20230606_0,55.26,73.2,2
mc_91.94_74.75_1.1_20230606_0,91.94,74.75,8
mc_-134.69_68.33_1.1_20230606_0,-134.69,68.33,8
mc_-134.93_68.45_1.1_20230606_0,-134.93,68.45,8
mc_-134.95_68.33_1.1_20230606_0,-134.95,68.33,8
mc_-135.17_68.08_1.1_20230606_0,-135.17,68.08,8
mc_-135.17_68.20_1.1_20230606_0,-135.17,68.2,8
mc_-135.17_68.45_1.1_20230606_0,-135.17,68.45,8
mc_-135.20_68.33_1.1_20230606_0,-135.2,68.33,8
mc_-135.40_68.33_1.1_20230606_0,-135.4,68.33,8
mc_-135.70_68.33_1.1_20230606_0,-135.7,68.33,8
mc_-160.75_70.06_1.1_20230606_0,-160.75,70.06,4
mc_-69.96_82.44_1.1_20230606_0,-69.96,82.44,9
mc_-72.37_80.66_1.1_20230606_0,-72.37,80.66,9
mc_-72.90_81.94_1.1_20230606_0,-72.9,81.94,9
mc_-73.56_80.32_1.1_20230606_0,-73.56,80.32,9
mc_-74.71_80.15_1.1_20230606_0,-74.71,80.15,9
mc_-75.07_79.89_1.1_20230606_0,-75.07,79.89,9
mc_-75.43_79.82_1.1_20230606_0,-75.43,79.82,9
mc_-75.72_82.11_1.1_20230606_0,-75.72,82.11,9
mc_-80.60_77.35_1.1_20230606_0,-80.6,77.35,9
mc_-80.88_77.48_1.1_20230606_0,-80.88,77.48,9
mc_-81.60_77.72_1.1_20230606_0,-81.6,77.72,9
mc_-81.60_77.95_1.1_20230606_0,-81.6,77.95,9
mc_-85.47_76.47_1.1_20230606_0,-85.47,76.47,9
mc_-89.99_75.07_1.1_20230606_0,-89.99,75.07,3
mc_-90.06_75.57_1.1_20230606_0,-90.06,75.57,3
mc_-90.09_75.20_1.1_20230606_0,-90.09,75.2,3
mc_-90.47_75.82_1.1_20230606_0,-90.47,75.82,3
mc_-90.72_75.70_1.1_20230606_0,-90.72,75.7,3
mc_-90.84_75.07_1.1_20230606_0,-90.84,75.07,3
mc_-91.09_75.32_1.1_20230606_0,-91.09,75.32,3
mc_-91.24_75.57_1.1_20230606_0,-91.24,75.57,3
mc_23.12_68.70_1.1_20230606_0,23.12,68.7,7
mc_23.34_68.70_1.1_20230606_0,23.34,68.7,7
mc_23.54_68.90_1.1_20230606_0,23.54,68.9,7
mc_23.50_68.70_1.1_20230606_0,23.5,68.7,7
mc_23.62_68.33_1.1_20230606_0,23.62,68.33,7
mc_23.77_68.53_1.1_20230606_0,23.77,68.53,7
mc_23.83_68.44_1.1_20230606_0,23.83,68.44,7
mc_24.12_68.08_1.1_20230606_0,24.12,68.08,7
mc_26.74_68.45_1.1_20230606_0,26.74,68.45,7
mc_26.37_67.95_1.1_20230606_0,26.37,67.95,7
mc_28.38_67.95_1.1_20230606_0,28.38,67.95,7
mc_28.62_68.31_1.1_20230606_0,28.62,68.31,7
mc_28.87_68.08_1.1_20230606_0,28.87,68.08,7
mc_28.99_68.58_1.1_20230606_0,28.99,68.58,7
mc_28.99_68.70_1.1_20230606_0,28.99,68.7,7
mc_29.23_68.32_1.1_20230606_0,29.23,68.32,7
mc_29.25_68.58_1.1_20230606_0,29.25,68.58,7
mc_29.33_68.70_1.1_20230606_0,29.33,68.7,7
mc_29.47_68.33_1.1_20230606_0,29.47,68.33,7
mc_30.62_68.33_1.1_20230606_0,30.62,68.33,7
mc_54.61_72.95_1.1_20230606_0,54.61,72.95,2
mc_54.73_73.07_1.1_20230606_0,54.73,73.07,2
mc_-70.84_82.44_1.1_20230606_0,-70.84,82.44,9
mc_-73.11_80.38_1.1_20230606_0,-73.11,80.38,9
mc_-74.60_80.05_1.1_20230606_0,-74.6,80.05,9
mc_-75.24_79.91_1.1_20230606_0,-75.24,79.91,9
mc_-76.22_82.19_1.1_20230606_0,-76.22,82.19,9
mc_-77.28_78.54_1.1_20230606_0,-77.28,78.54,9
mc_-77.30_77.97_1.1_20230606_0,-77.3,77.97,9
mc_-79.15_78.67_1.1_20230606_0,-79.15,78.67,9
mc_-80.31_77.07_1.1_20230606_0,-80.31,77.07,9
mc_-87.97_75.45_1.1_20230606_0,-87.97,75.45,3
mc_-91.09_75.20_1.1_20230606_0,-91.09,75.2,3
mc_-91.22_75.70_1.1_20230606_0,-91.22,75.7,3
mc_-91.34_75.45_1.1_20230606_0,-91.34,75.45,3
mc_-91.47_75.82_1.1_20230606_0,-91.47,75.82,3
mc_-91.84_75.07_1.1_20230606_0,-91.84,75.07,3
mc_-91.84_75.20_1.1_20230606_0,-91.84,75.2,3
mc_-91.84_75.57_1.1_20230606_0,-91.84,75.57,3
mc_-91.97_75.82_1.1_20230606_0,-91.97,75.82,3
mc_18.15_68.08_1.1_20230606_0,18.15,68.08,1
mc_19.28_68.58_1.1_20230606_0,19.28,68.58,1
mc_19.82_68.58_1.1_20230606_0,19.82,68.58,1
mc_19.50_68.56_1.1_20230606_0,19.5,68.56,1
mc_22.62_68.20_1.1_20230606_0,22.62,68.2,7
mc_22.99_68.45_1.1_20230606_0,22.99,68.45,7
mc_23.50_68.58_1.1_20230606_0,23.5,68.58,7
mc_23.60_68.45_1.1_20230606_0,23.6,68.45,7
mc_24.13_68.33_1.1_20230606_0,24.13,68.33,7
mc_27.12_68.33_1.1_20230606_0,27.12,68.33,7
mc_27.74_68.58_1.1_20230606_0,27.74,68.58,7
mc_28.13_67.95_1.1_20230606_0,28.13,67.95,7
mc_29.49_68.58_1.1_20230606_0,29.49,68.58,7
mc_29.62_68.08_1.1_20230606_0,29.62,68.08,7
mc_29.99_68.58_1.1_20230606_0,29.99,68.58,7
mc_30.12_68.08_1.1_20230606_0,30.12,68.08,7
mc_30.24_68.20_1.1_20230606_0,30.24,68.2,7
mc_30.81_68.45_1.1_20230606_0,30.81,68.45,7
mc_32.14_68.95_1.1_20230606_0,32.14,68.95,10
mc_54.62_72.82_1.1_20230606_0,54.62,72.82,2
mc_54.98_73.20_1.1_20230606_0,54.98,73.2,2
mc_-75.22_79.81_1.1_20230606_0,-75.22,79.81,9
mc_-76.37_78.27_1.1_20230606_0,-76.37,78.27,9
mc_-90.34_75.57_1.1_20230606_0,-90.34,75.57,3
mc_-91.09_75.45_1.1_20230606_0,-91.09,75.45,3
mc_-91.72_75.82_1.1_20230606_0,-91.72,75.82,3
mc_24.34_68.44_1.1_20230606_0,24.34,68.44,7
mc_24.37_67.95_1.1_20230606_0,24.37,67.95,7
mc_26.49_68.20_1.1_20230606_0,26.49,68.2,7
mc_26.62_68.33_1.1_20230606_0,26.62,68.33,7
mc_26.82_68.54_1.1_20230606_0,26.82,68.54,7
mc_26.87_68.08_1.1_20230606_0,26.87,68.08,7
mc_26.99_68.45_1.1_20230606_0,26.99,68.45,7
mc_27.12_68.08_1.1_20230606_0,27.12,68.08,7
mc_27.37_67.87_1.1_20230606_0,27.37,67.87,7
mc_27.49_68.20_1.1_20230606_0,27.49,68.2,7
mc_27.87_68.08_1.1_20230606_0,27.87,68.08,7
mc_29.49_68.20_1.1_20230606_0,29.49,68.2,7
mc_-70.22_82.44_1.1_20230606_0,-70.22,82.44,9
mc_-70.93_82.21_1.1_20230606_0,-70.93,82.21,9
mc_-80.62_77.32_1.1_20230606_0,-80.62,77.32,9
mc_-88.22_75.45_1.1_20230606_0,-88.22,75.45,3
mc_-90.34_75.32_1.1_20230606_0,-90.34,75.32,3
mc_-80.47_77.32_1.1_20230606_0,-80.47,77.32,9
mc_-91.34_75.20_1.1_20230606_0,-91.34,75.2,3
mc_-91.84_75.32_1.1_20230606_0,-91.84,75.32,3
mc_27.49_68.58_1.1_20230606_0,27.49,68.58,7
mc_27.74_67.89_1.1_20230606_0,27.74,67.89,7
mc_27.74_68.45_1.1_20230606_0,27.74,68.45,7
mc_27.82_68.20_1.1_20230606_0,27.82,68.2,7
mc_27.92_67.95_1.1_20230606_0,27.92,67.95,7
mc_28.74_68.45_1.1_20230606_0,28.74,68.45,7
mc_29.74_68.20_1.1_20230606_0,29.74,68.2,7
mc_29.80_68.45_1.1_20230606_0,29.8,68.45,7
mc_29.86_68.58_1.1_20230606_0,29.86,68.58,7
mc_54.36_72.95_1.1_20230606_0,54.36,72.95,2
mc_54.48_73.07_1.1_20230606_0,54.48,73.07,2
mc_54.59_73.20_1.1_20230606_0,54.59,73.2,2
mc_54.78_73.20_1.1_20230606_0,54.78,73.2,2
mc_-101.08_34.28_1.1_20230611_0,-101.08,34.28,5
mc_-101.09_34.47_1.1_20230611_0,-101.09,34.47,5
mc_-101.21_34.22_1.1_20230611_0,-101.21,34.22,5
mc_-101.21_34.59_1.1_20230611_0,-101.21,34.59,5
mc_-101.30_33.98_1.1_20230611_0,-101.3,33.98,5
mc_-101.32_34.10_1.1_20230611_0,-101.32,34.1,5
mc_-101.34_34.35_1.1_20230611_0,-101.34,34.35,5
mc_-101.34_34.47_1.1_20230611_0,-101.34,34.47,5
mc_-101.37_34.22_1.1_20230611_0,-101.37,34.22,5
mc_-101.47_34.26_1.1_20230611_0,-101.47,34.26,5
mc_-101.59_33.98_1.1_20230611_0,-101.59,33.98,5
mc_-101.59_34.05_1.1_20230611_0,-101.59,34.05,5
mc_-101.59_34.47_1.1_20230611_0,-101.59,34.47,5
mc_-101.69_33.85_1.1_20230611_0,-101.69,33.85,5
mc_-103.46_35.60_1.1_20230611_0,-103.46,35.6,10
mc_-103.46_35.72_1.1_20230611_0,-103.46,35.72,10
mc_-104.46_39.35_1.1_20230611_0,-104.46,39.35,2
mc_-11.75_13.12_1.1_20230611_0,-11.75,13.12,6
mc_-111.68_41.85_1.1_20230611_0,-111.68,41.85,2
mc_-111.83_41.72_1.1_20230611_0,-111.83,41.72,2
mc_-111.84_41.84_1.1_20230611_0,-111.84,41.84,2
mc_-111.96_41.60_1.1_20230611_0,-111.96,41.6,2
mc_-112.05_41.72_1.1_20230611_0,-112.05,41.72,2
mc_-112.21_41.60_1.1_20230611_0,-112.21,41.6,2
mc_-115.33_52.34_1.1_20230611_0,-115.33,52.34,4
mc_-115.54_52.59_1.1_20230611_0,-115.54,52.59,4
mc_-115.58_52.34_1.1_20230611_0,-115.58,52.34,4
mc_-115.58_52.46_1.1_20230611_0,-115.58,52.46,4
mc_-115.71_52.71_1.1_20230611_0,-115.71,52.71,4
mc_-115.83_52.34_1.1_20230611_0,-115.83,52.34,4
mc_-115.83_52.46_1.1_20230611_0,-115.83,52.46,4
mc_-115.83_52.59_1.1_20230611_0,-115.83,52.59,4
mc_-115.96_52.71_1.1_20230611_0,-115.96,52.71,4
mc_-115.96_52.84_1.1_20230611_0,-115.96,52.84,4
mc_-116.08_52.34_1.1_20230611_0,-116.08,52.34,4
mc_-116.08_52.46_1.1_20230611_0,-116.08,52.46,4
mc_-116.21_52.71_1.1_20230611_0,-116.21,52.71,4
mc_-116.08_52.59_1.1_20230611_0,-116.08,52.59,4
mc_-116.21_52.84_1.1_20230611_0,-116.21,52.84,4
mc_-116.33_52.34_1.1_20230611_0,-116.33,52.34,4
mc_-116.33_52.46_1.1_20230611_0,-116.33,52.46,4
mc_-116.33_52.59_1.1_20230611_0,-116.33,52.59,4
mc_-116.46_52.71_1.1_20230611_0,-116.46,52.71,4
mc_-116.46_52.84_1.1_20230611_0,-116.46,52.84,4
mc_-116.46_52.96_1.1_20230611_0,-116.46,52.96,4
mc_-116.58_52.59_1.1_20230611_0,-116.58,52.59,4
mc_-116.58_53.09_1.1_20230611_0,-116.58,53.09,4
mc_-116.71_52.71_1.1_20230611_0,-116.71,52.71,4
mc_-116.71_52.84_1.1_20230611_0,-116.71,52.84,4
mc_-116.71_52.96_1.1_20230611_0,-116.71,52.96,4
mc_-116.83_52.59_1.1_20230611_0,-116.83,52.59,4
mc_-116.83_53.09_1.1_20230611_0,-116.83,53.09,4
mc_-116.83_53.21_1.1_20230611_0,-116.83,53.21,4
mc_-116.83_53.34_1.1_20230611_0,-116.83,53.34,4
mc_-116.95_52.71_1.1_20230611_0,-116.95,52.71,4
mc_-116.96_52.84_1.1_20230611_0,-116.96,52.84,4
